car_id         year     car make    car model        total
   48         2015        Acura          TLX           58
  124         2015         Jeep     Wrangler          114
  222         2015        Lexus        Is250           36
  207         1993        Honda     Civic eG           38
  167         2016         Ford      Mystang           18
  159         2013      Hyundai    Gen coupe           14
   20         2009     Infinity          G37           34
  178         2009        Honda       Oddesy           60
   30         2012      Hyundai     Celoster           60
  134         2012       Subaru          WRX            6
   51         2015       Subaru          WRX           44
  183         2005   Volkswagen        Jetta           12
  177         2005   Volkswagen    Jetta gli           10
    5         2003        Acura          Rsx           44
  218         2010        Chevy       Camaro           52
   39         2011        Honda        Civic           66
   68         2013       Nissan       Altima            8
   10         2001       Nissan          S15           30
   67         2015       Subaru          Sti           12
   43         2011       Toyota     4 Runner           50
  170         2014        Chevy        Cruze           42
  216         2007    Chrystler          300           88
   99         2014        Civic           Si           32
   89         2014        Honda     Civic si           14
   95         2004     Infiniti          G35           12
  228         2010       Nissan          370           82
    7         2014       Nissan       Sentra           26
   14         1990       Nissan      Skyline           22
    8         1991       Nissan      Skyline           36
  145         1990   Volkswagen          Gti           32
  102         2015        Honda       Accord            8
   36         2016       Subaru          WRX           66
  189         2012       Toyota   Fj cruiser           46
  111         2007          Bmw         328i            4
  140         1995        Mitsu         Evo8           42
  161         2012       Nissan         370z           76
   37         2015       Subaru          Sti           46
  243         2008       Toyota       Matrix           10
  184         2010   Volkswagen           Cc            8
   66         2010   Volkswagen          Gti            4
  101         2014        Honda        Civic            0
   21         2009       Subaru          WRX           56
  200         2016       Subaru          WRX           32
    2         2016          Bmw           M2           20
   23         1998       Subaru       Legacy           56
   59         2012   Volkswagen         Golf           28
   42         2001        Dodge        Viper            8
   83         2014        Honda       Accord          106
   16         2008       Nissan         350z           10
  181         2003   Volkswagen          Gti           26
    0         2015        Chevy       Camaro            0
   88         2008        Honda       Accord           44
   25         2012     Mercedes         C250           72
  176         2014        Mitsu       Lancer           36
  134         2013       Subaru          WRX           48
  127         2013        Acura          Tsx           80
  104         2014  Civic coupe           Si           44
  120         2014         Ford     Focus st           26
   85         2017        Honda       Accord           38
Showcar         2014       Nissan          Gtr           38
  108         2013         Audi           S4           10
   98         2012         Benz          C63           22
  130         2016        Honda     Civic si           22
   12         1990       Nissan          240           56
  232         2018       Subaru          WRX           44
  Vip         2008   Volkswagen          Gli           14
   96         2017   Volkswagen          Gti            6
   15         2014         Audi           S4          106
   65         2009        Honda          Fit           98
   92         2017      Hyundai Elantra sport           28
  179         2004   Volkswagen          R32           32
   63         2010        Honda        Civic           78
   35         2016        Honda        Civic           52
   79         1993        Mazda        Miata           14
 4341         1992       Nissan        Rps13           26
  156         2014   Volkswagen          Gli           52
  220         2004         Audi           A4           12
   44         2018        Honda     Civic si           36
   19         2001       Mitsub         Evo7           36
  123         2006        Lexus        Sc430           60
   57         2015        Scion          Frs           72
  230         2004        Acura          Tsx           18
   33         2015       Subaru          Sti           60
   75         2012       Subaru          WRX            6
  175         2006        Honda        Civic           88
  115         2001        Honda          Crv           52
  153         2017       Subaru          Brz           40
   76         2005       Subaru          Sti           10
   56         2009   Volkswagen        Jetta           40
  114         2015        Acura          TLX           94
  163         2013        Mitsu     Ralliart           18
   53         2013       Subaru          WRX           54
  241         2007       Toyota        Camry           22
  114         2010   Volkswagen          Gti           22
   41         2012        Acura          Tsx           62
  116         2008         Audi           A4           24
  137         2017         Ford     Focus rs           52
  212         2001        Lexus        Is300            6
   52         2007        Mazda      Speed 3           42
   93         2005        Acura           TL           22
  226         2008        Honda       Accord           18
   22         2007        Honda        Civic           22
   70         2014        Honda        Civic            0
  128         2010     Infiniti          G37          118
  187         2007       Subaru       Legacy            6
  238         1982   Volkswagen       Rabbit           24
   31         2007        Honda          Fit           96
   71         2008        Acura           TL            6
   18         2015         Audi           S3           34
   38         2017      Hyundai Elantra sport           60
   46         2008   Volkswagen          R32           32
   49         1997        Acura      Integra           36
   28         1995          Bmw        318xi            8
  219         2016         Ford     Focus rs           24
  185         2013   Volkswagen         Jett            8
  162         2014       Nissan         370z           30
  180         2011   Volkswagen          Gti           74
  103         2010        Acura          Tsx           66
  197         2010         Audi           A4            2
   74         2015        Honda       Accord            6
  150         2006       Nissan         350z           20
   78         2015        Mazda            6           36
  141         1993        Mazda        Miata           24
   17         2016     Mercedes          C43           30
  187         2007       Subaru       Legacy           22
   69         2018       Subaru          WRX            8
  100         2006        Volvo         S60r           20
  112         2008        Acura           TL          104
  172         2014          Bmw            4           20
   91         2010        Mitsu       Lancer           92
  158         2007       Nissan         350z           54
  182         2012   Volkswagen           Cc           16
  225         2016        Acura          TLX           46
   81         2016   Volkswagen          GTI           24
    6         2016   Volkswagen       Golf r           48
  121         2012        Acura           TL           40
  211         2004        Acura          Tsx           46
  186         2012   Volkswagen          Gli           14
   59         2007        Honda        Civic           14
   72         2016        Civic           Si            4
   45         2006        Acura           TL           38
 1051         2006        Acura          Tsx           60
   84         2012     Mercedes      Cl63amg           64
  118         1993        Honda        Civic           40
  174         2006        Acura          Rsx            4
  138         1990        Mazda        Miata           10
  242         2014       Nissan       Maxima           24
  153         2011       Nissan          370           76
  193         2014       Nissan       Ssntra           12
   94         2004   Volkswagen          Gti            6
   11         1991       Nissan      Skyline           26
   86         1996   Volkswagen        Jetta            8
    9         1996       Nissan          240           38
  142         1993       Toyota        Supra           48
  126         2010   Volkswagen          Eos           82
  144         2016   Volkswagen          Gti           24
  110         2011       Toyota        Camry           54
   34         2010        Honda          Fit           18
  190         1995        Lexus        Sc300           10
  235         2013        Scion          Frs           16
   24         2013       Subaru          BRZ           30
   64         2004       Subaru     Forester            6
  122         2011     Infinity         M37s           40
  106         2007        Acura    Tl type s           68
  113         2012        Acura Tsx sportwagon          106
   37         2016        Honda   Civic 1.5t           80
  237         1987   Volkswagen        Jetta           10
