rank, total, car_id, year, car make, car model
1, 0, 0, 2015, Chevy, Camaro
2, 0, 70, 2014, Honda, Civic
3, 0, 101, 2014, Honda, Civic
4, 2, 197, 2010, Audi, A4
5, 4, 66, 2010, Volkswagen, Gti
6, 4, 72, 2016, Civic, Si
7, 4, 174, 2006, Acura, Rsx
8, 6, 64, 2004, Subaru, Forester
9, 6, 71, 2008, Acura, TL
10, 6, 75, 2012, Subaru, WRX
11, 6, 134, 2012, Subaru, WRX
12, 6, 187, 2007, Subaru, Legacy
13, 6, 212, 2001, Lexus, Is300
14, 8, 28, 1995, Bmw, 318xi
15, 8, 42, 2001, Dodge, Viper
16, 8, 69, 2018, Subaru, WRX
17, 8, 74, 2015, Honda, Accord
18, 8, 86, 1996, Volkswagen, Jetta
19, 8, 184, 2010, Volkswagen, Cc
20, 8, 185, 2013, Volkswagen, Jett
21, 10, 16, 2008, Nissan, 350z
22, 10, 68, 2013, Nissan, Altima
23, 10, 94, 2004, Volkswagen, Gti
24, 10, 96, 2017, Volkswagen, Gti
25, 10, 102, 2015, Honda, Accord
26, 10, 111, 2007, Bmw, 328i
27, 10, 138, 1990, Mazda, Miata
28, 10, 190, 1995, Lexus, Sc300
29, 10, 237, 1987, Volkswagen, Jetta
30, 10, 243, 2008, Toyota, Matrix
31, 12, 76, 2005, Subaru, Sti
32, 12, 95, 2004, Infiniti, G35
33, 12, 177, 2005, Volkswagen, Jetta
34, 14, 59, 2007, Honda, Civic
35, 14, 67, 2015, Subaru, Sti
36, 14, 108, 2013, Audi, S4
37, 14, 159, 2013, Hyundai, Gen
38, 14, 186, 2012, Volkswagen, Gli
39, 14, 193, 2014, Nissan, Ssntra
40, 14, 220, 2004, Audi, A4
41, 16, 89, 2014, Honda, Civic
42, 16, 183, 2005, Volkswagen, Jetta
43, 16, Vip, 2008, Volkswagen, Gli
44, 18, 34, 2010, Honda, Fit
45, 18, 79, 1993, Mazda, Miata
46, 18, 226, 2008, Honda, Accord
47, 20, 167, 2016, Ford, Mystang
48, 20, 182, 2012, Volkswagen, Cc
49, 20, 230, 2004, Acura, Tsx
50, 20, 235, 2013, Scion, Frs
51, 22, 93, 2005, Acura, TL
52, 22, 100, 2006, Volvo, S60r
53, 22, 150, 2006, Nissan, 350z
54, 22, 163, 2013, Mitsu, Ralliart
55, 22, 172, 2014, Bmw, 4
56, 24, 2, 2016, Bmw, M2
57, 24, 22, 2007, Honda, Civic
58, 24, 81, 2016, Volkswagen, GTI
59, 24, 130, 2016, Honda, Civic
60, 24, 241, 2007, Toyota, Camry
61, 26, 14, 1990, Nissan, Skyline
62, 26, 98, 2012, Benz, C63
63, 26, 114, 2010, Volkswagen, Gti
64, 26, 141, 1993, Mazda, Miata
65, 26, 187, 2007, Subaru, Legacy
66, 26, 219, 2016, Ford, Focus
67, 26, 242, 2014, Nissan, Maxima
68, 28, 59, 2012, Volkswagen, Golf
69, 28, 116, 2008, Audi, A4
70, 28, 144, 2016, Volkswagen, Gti
71, 28, 238, 1982, Volkswagen, Rabbit
72, 30, 7, 2014, Nissan, Sentra
73, 30, 11, 1991, Nissan, Skyline
74, 30, 92, 2017, Hyundai, Elantra
75, 30, 120, 2014, Ford, Focus
76, 30, 181, 2003, Volkswagen, Gti
77, 32, 24, 2013, Subaru, BRZ
78, 32, 46, 2008, Volkswagen, R32
79, 32, 4341, 1992, Nissan, Rps13
80, 34, 10, 2001, Nissan, S15
81, 34, 17, 2016, Mercedes, C43
82, 36, 78, 2015, Mazda, 6
83, 36, 162, 2014, Nissan, 370z
84, 36, 200, 2016, Subaru, WRX
85, 38, 18, 2015, Audi, S3
86, 38, 20, 2009, Infinity, G37
87, 38, 99, 2014, Civic, Si
88, 38, 145, 1990, Volkswagen, Gti
89, 38, 179, 2004, Volkswagen, R32
90, 40, 19, 2001, Mitsub, Evo7
91, 40, 44, 2018, Honda, Civic
92, 40, 176, 2014, Mitsu, Lancer
93, 40, 207, 1993, Honda, Civic
94, 40, 222, 2015, Lexus, Is250
95, 42, 45, 2006, Acura, TL
96, 42, 49, 1997, Acura, Integra
97, 42, 56, 2009, Volkswagen, Jetta
98, 42, 85, 2017, Honda, Accord
99, 42, 153, 2017, Subaru, Brz
00, 44, 8, 1991, Nissan, Skyline
01, 44, 9, 1996, Nissan, 240
02, 44, 118, 1993, Honda, Civic
03, 44, 121, 2012, Acura, TL
04, 44, 122, 2011, Infinity, M37s
05, 44, 140, 1995, Mitsu, Evo8
06, 44, Showcar, 2014, Nissan, Gtr
07, 46, 232, 2018, Subaru, WRX
08, 48, 52, 2007, Mazda, Speed
09, 48, 88, 2008, Honda, Accord
10, 48, 104, 2014, Civic, coupe
11, 48, 211, 2004, Acura, Tsx
12, 50, 5, 2003, Acura, Rsx
13, 50, 51, 2015, Subaru, WRX
14, 50, 170, 2014, Chevy, Cruze
15, 50, 189, 2012, Toyota, Fj
16, 52, 134, 2013, Subaru, WRX
17, 52, 225, 2016, Acura, TLX
18, 54, 6, 2016, Volkswagen, Golf
19, 54, 37, 2015, Subaru, Sti
20, 54, 43, 2011, Toyota, 4
21, 54, 137, 2017, Ford, Focus
22, 56, 115, 2001, Honda, Crv
23, 56, 156, 2014, Volkswagen, Gli
24, 58, 110, 2011, Toyota, Camry
25, 58, 142, 1993, Toyota, Supra
26, 60, 35, 2016, Honda, Civic
27, 60, 53, 2013, Subaru, WRX
28, 62, 12, 1990, Nissan, 240
29, 62, 21, 2009, Subaru, WRX
30, 62, 23, 1998, Subaru, Legacy
31, 62, 38, 2017, Hyundai, Elantra
32, 62, 48, 2015, Acura, TLX
33, 64, 41, 2012, Acura, Tsx
34, 64, 158, 2007, Nissan, 350z
35, 64, 218, 2010, Chevy, Camaro
36, 66, 30, 2012, Hyundai, Celoster
37, 66, 123, 2006, Lexus, Sc430
38, 66, 1051, 2006, Acura, Tsx
39, 68, 33, 2015, Subaru, Sti
40, 70, 84, 2012, Mercedes, Cl63amg
41, 72, 39, 2011, Honda, Civic
42, 72, 103, 2010, Acura, Tsx
43, 72, 178, 2009, Honda, Oddesy
44, 74, 36, 2016, Subaru, WRX
45, 78, 25, 2012, Mercedes, C250
46, 78, 106, 2007, Acura, Tl
47, 80, 57, 2015, Scion, Frs
48, 82, 180, 2011, Volkswagen, Gti
49, 84, 153, 2011, Nissan, 370
50, 84, 161, 2012, Nissan, 370z
51, 86, 63, 2010, Honda, Civic
52, 86, 127, 2013, Acura, Tsx
53, 92, 37, 2016, Honda, Civic
54, 92, 126, 2010, Volkswagen, Eos
55, 92, 175, 2006, Honda, Civic
56, 92, 228, 2010, Nissan, 370
57, 96, 216, 2007, Chrystler, 300
58, 102, 31, 2007, Honda, Fit
